row_id,og_id,car_brand,car_name,engine,total_speed_kmh,fuel_type,cc_capacity,kwh_capacity,_idx,price_min,price_max,horsepower_min,horsepower_max,torque_nm_min,torque_nm_max,0_100_kmh_performance_secs_min,0_100_kmh_performance_secs_max,seats_min,seats_max,region,country,price_tier
0-0,0,Ferrari,SF90 STRADALE,v8,340,hybrid,3990.0,,0,1100000.0,1100000.0,963.0,963.0,800.0,800.0,2.5,2.5,2,2,Europe,Italy,Supercar
1-0,1,Rolls Royce,PHANTOM,V12,250,petrol,6749.0,,0,460000.0,460000.0,563.0,563.0,900.0,900.0,5.3,5.3,5,5,Europe,United Kingdom,Supercar
2-0,2,Ford,KA+,1.2L Petrol,165,petrol,1200.0,,0,-15000.0,12000.0,70.0,70.0,100.0,100.0,10.5,10.5,5,5,North America,United States,Budget
2-1,2,Ford,KA+,1.2L Petrol,165,petrol,1200.0,,1,-15000.0,12000.0,85.0,85.0,140.0,140.0,10.5,10.5,5,5,North America,United States,Budget
3-0,3,Mercedes, GT 63 S,v8,250,petrol,3982.0,,0,161000.0,161000.0,630.0,630.0,900.0,900.0,3.2,3.2,4,4,Europe,Germany,Luxury
4-0,4,Audi,AUDI R8 Gt,V10,320,petrol,5204.0,,0,253290.0,253290.0,602.0,602.0,560.0,560.0,3.6,3.6,2,2,Europe,Germany,Supercar
5-0,5,Bmw,Mclaren 720s,v8,341,petrol,3994.0,,0,499000.0,499000.0,710.0,710.0,770.0,770.0,2.9,2.9,2,2,Europe,Germany,Supercar
6-0,6,Aston Martin,VANTAGE F1,v8,314,petrol,3982.0,,0,193440.0,193440.0,656.0,656.0,685.0,685.0,3.6,3.6,2,2,Europe,United Kingdom,Luxury
7-0,7,Bentley,Continental GT Azure,v8,318,petrol,3996.0,,0,311000.0,311000.0,550.0,550.0,900.0,900.0,4.0,4.0,4,4,Europe,United Kingdom,Supercar
8-0,8,Lamborghini,VENENO ROADSTER,V12,356,petrol,6498.0,,0,4500000.0,4500000.0,750.0,750.0,690.0,690.0,2.9,2.9,2,2,Europe,Italy,Supercar
9-0,9,Ferrari,F8 TRIBUTO,v8,340,petrol,3900.0,,0,280000.0,280000.0,710.0,710.0,770.0,770.0,2.9,2.9,2,2,Europe,Italy,Supercar
10-0,10,Ferrari,812 GTS,V12,340,petrol,6496.0,,0,350000.0,350000.0,789.0,789.0,718.0,718.0,2.9,2.9,2,2,Europe,Italy,Supercar
11-0,11,Ferrari,PORTOFINO,v8,320,petrol,3900.0,,0,210000.0,210000.0,592.0,592.0,760.0,760.0,3.2,3.2,4,4,Europe,Italy,Luxury
12-0,12,Ferrari,ROMA,v8,320,petrol,3900.0,,0,230000.0,230000.0,612.0,612.0,760.0,760.0,3.4,3.4,4,4,Europe,Italy,Luxury
13-0,13,Ferrari,MONZA SP2,V12,340,petrol,6496.0,,0,1700000.0,1700000.0,789.0,789.0,719.0,719.0,2.9,2.9,2,2,Europe,Italy,Supercar
14-0,14,Ferrari,F8 SPIDER,v8,340,petrol,3900.0,,0,280000.0,280000.0,710.0,710.0,770.0,770.0,2.9,2.9,2,2,Europe,Italy,Supercar
15-0,15,Ferrari,PORTOFINO M,v8,320,petrol,3900.0,,0,220000.0,220000.0,612.0,612.0,760.0,760.0,3.2,3.2,4,4,Europe,Italy,Luxury
16-0,16,Ferrari,ROMA SPIDER,v8,320,petrol,3900.0,,0,240000.0,240000.0,612.0,612.0,760.0,760.0,3.4,3.4,4,4,Europe,Italy,Luxury
17-0,17,Toyota,GR SUPRA,i4,250,petrol,2998.0,,0,53900.0,53900.0,382.0,382.0,500.0,500.0,4.1,4.1,2,2,Asia,Japan,Premium
18-0,18,Toyota,TOYOTA 86,BOXER-4,226,petrol,1998.0,,0,27000.0,27000.0,205.0,205.0,205.0,205.0,6.4,6.4,4,4,Asia,Japan,Midrange
19-0,19,Toyota,TOYOTA  GR86,BOXER-4,226,petrol,2387.0,,0,30000.0,30000.0,228.0,228.0,250.0,250.0,5.6,5.6,4,4,Asia,Japan,Midrange
20-0,20,Toyota,TOYOTA LAND CRUISER,v8,220,diesel,5663.0,,0,85000.0,85000.0,381.0,381.0,500.0,500.0,6.7,6.7,7,7,Asia,Japan,Premium
21-0,21,Toyota,TOYOTA SEQUOIA,v8,200,petrol,5663.0,,0,50000.0,50000.0,381.0,381.0,651.0,651.0,6.9,6.9,7,7,Asia,Japan,Midrange
22-0,22,Nissan,GT-R,v6,315,petrol,3799.0,,0,113000.0,113000.0,600.0,600.0,637.0,637.0,2.9,2.9,4,4,Asia,Japan,Luxury
23-0,23,Nissan,370Z,v6,250,petrol,3696.0,,0,30000.0,30000.0,332.0,332.0,366.0,366.0,4.7,4.7,2,2,Asia,Japan,Midrange
24-0,24,Nissan,Z PROTO,v6,290,petrol,2998.0,,0,40000.0,40000.0,400.0,400.0,475.0,475.0,4.1,4.1,2,2,Asia,Japan,Midrange
25-0,25,Nissan,ALTIMA,i4,225,petrol,2488.0,,0,25000.0,25000.0,188.0,188.0,380.0,380.0,7.3,7.3,5,5,Asia,Japan,Budget
26-0,26,Nissan,MAXIMA,v6,240,petrol,3498.0,,0,35000.0,35000.0,300.0,300.0,354.0,354.0,5.8,5.8,5,5,Asia,Japan,Midrange
27-0,27,Nissan,SENTRA,i4,200,petrol,1998.0,,0,20000.0,20000.0,149.0,149.0,240.0,240.0,8.2,8.2,5,5,Asia,Japan,Budget
28-0,28,Nissan,ROGUE,i4,200,petrol,2488.0,,0,28000.0,28000.0,201.0,201.0,270.0,270.0,7.5,7.5,5,5,Asia,Japan,Midrange
29-0,29,Nissan,PATHFINDER,v6,225,petrol,3498.0,,0,35000.0,35000.0,284.0,284.0,351.0,351.0,6.5,6.5,7,7,Asia,Japan,Midrange
30-0,30,Nissan,FRONTIER,v6,180,petrol,3799.0,,0,30000.0,30000.0,310.0,310.0,381.0,381.0,6.8,6.8,5,5,Asia,Japan,Midrange
31-0,31,Nissan,TITAN,v8,200,petrol,5598.0,,0,40000.0,40000.0,400.0,400.0,560.0,560.0,5.9,5.9,5,5,Asia,Japan,Midrange
